Date,Actual Return,Predicted Return,Actual Trading Signal,Predicted Trading Signal,Actual Entry/Exit,Predicted Entry/Exit
2016-10-06,0.0017349957174834871,-0.004267252,1.0,0.0,0.0,0.0
2016-10-07,0.0010391089092327568,-0.003677548,1.0,0.0,0.0,0.0
2016-10-10,0.004152263521857392,-0.0038795474,1.0,0.0,0.0,0.0
2016-10-11,-0.014645116988575397,-0.0036383697,0.0,0.0,-1.0,0.0
2016-10-12,-0.0013988028722661159,-0.0033104743,0.0,0.0,0.0,0.0
2016-10-13,-0.003326810373537988,-0.0036620747,0.0,0.0,0.0,0.0
2016-10-14,0.008784059095482182,-0.0038373733,1.0,0.0,1.0,0.0
2016-10-17,-0.0034829998432650594,-0.004059561,0.0,0.0,-1.0,0.0
2016-10-18,0.007689597522137834,-0.004563719,1.0,0.0,1.0,0.0
2016-10-19,-0.0022546691320152216,-0.0037915397,0.0,0.0,-1.0,0.0
2016-10-20,-0.004867019260068832,-0.0036445826,0.0,0.0,0.0,0.0
2016-10-21,0.04209592487962709,-0.0033030373,1.0,0.0,1.0,0.0
2016-10-24,0.02246081894772623,-0.0036869517,1.0,0.0,0.0,0.0
2016-10-25,-0.00016392937221053658,-0.0031928618,0.0,0.0,-1.0,0.0
2016-10-26,-0.005902627395523942,-0.003154986,0.0,0.0,0.0,0.0
2016-10-27,-0.008741684960522739,-0.0022827643,0.0,0.0,0.0,0.0
2016-10-28,-0.0038267692123137294,-0.0009788142,0.0,0.0,0.0,0.0
2016-10-31,0.000835117035638431,-0.0027795765,1.0,0.0,1.0,0.0
2016-11-01,-0.0020026084730804237,-0.004139467,0.0,0.0,-1.0,0.0
2016-11-02,-0.006187443868980507,-0.004416567,0.0,0.0,0.0,0.0
2016-11-03,-0.0037017895248655543,-0.0043437066,0.0,0.0,0.0,0.0
2016-11-04,-0.008444398512614915,-0.0040086475,0.0,0.0,0.0,0.0
2016-11-07,0.02912608429637941,-0.0039256415,1.0,0.0,1.0,0.0
2016-11-08,0.0008276512901879109,-0.0041417074,1.0,0.0,0.0,0.0
2016-11-09,-0.004961256684739454,-0.0041390373,0.0,0.0,-1.0,0.0
2016-11-10,-0.024430506313877443,-0.003717742,0.0,0.0,0.0,0.0
2016-11-11,0.005451348844474074,-0.003299703,1.0,0.0,1.0,0.0
2016-11-14,-0.015249223555713228,-0.002492409,0.0,0.0,-1.0,0.0
2016-11-15,0.01974716777137831,-0.0043025617,1.0,0.0,1.0,0.0
2016-11-16,0.013249508974000125,-0.0048164367,1.0,0.0,0.0,0.0
2016-11-17,0.01659683792353795,-0.004959838,1.0,0.0,0.0,0.0
2016-11-18,-0.004782304637011464,-0.0035120698,0.0,0.0,-1.0,0.0
2016-11-21,0.008450631535193988,-0.0035552203,1.0,0.0,1.0,0.0
2016-11-22,0.004271980497197118,-0.002055432,1.0,0.0,0.0,0.0
2016-11-23,-0.011779812871757663,-0.002552713,0.0,0.0,-1.0,0.0
2016-11-25,0.0021520204866935988,-0.0028996246,1.0,0.0,1.0,0.0
2016-11-28,0.0013217309847628473,-0.0037261168,1.0,0.0,0.0,0.0
2016-11-29,0.007919445833690872,-0.0033664412,1.0,0.0,0.0,0.0
2016-11-30,-0.013586459975049599,-0.0038615603,0.0,0.0,-1.0,0.0
2016-12-01,-0.017590503465579218,-0.00423469,0.0,0.0,0.0,0.0
2016-12-02,0.0008446321496837797,-0.0035843304,1.0,0.0,1.0,0.0
2016-12-05,0.016371469662123987,-0.0037909145,1.0,0.0,0.0,0.0
2016-12-06,-0.004483677309084935,-0.0040783817,0.0,0.0,-1.0,0.0
2016-12-07,0.023686352145906312,-0.004927615,1.0,0.0,1.0,0.0
2016-12-08,-0.005866079237293768,-0.0043444363,0.0,0.0,-1.0,0.0
2016-12-09,0.015735248786299158,-0.0030971565,1.0,0.0,1.0,0.0
2016-12-12,0.0032273132981217607,-0.0026701305,1.0,0.0,0.0,0.0
2016-12-13,0.013028804976674014,-0.0031986185,1.0,0.0,0.0,0.0
2016-12-14,-0.004763433651979392,-0.0024223363,0.0,0.0,-1.0,0.0
